step,metric,value
94,epoch,0.20101577118417535
95,loss,2.0554
95,grad_norm,0.5372803807258606
95,learning_rate,0.00039828693790149895
95,mean_token_accuracy,0.5255724228918552
95,epoch,0.20315423683507083
96,loss,2.007
96,grad_norm,0.5169888734817505
96,learning_rate,0.0003972162740899358
96,mean_token_accuracy,0.5363163240253925
96,epoch,0.20529270248596632
97,loss,2.0747
97,grad_norm,0.5177153944969177
97,learning_rate,0.0003961456102783726
97,mean_token_accuracy,0.5170928910374641
97,epoch,0.2074311681368618
98,loss,2.0077
98,grad_norm,0.6786260604858398
98,learning_rate,0.0003950749464668094
98,mean_token_accuracy,0.5285588912665844
98,epoch,0.20956963378775728
99,loss,2.0444
99,grad_norm,0.5838902592658997
99,learning_rate,0.00039400428265524626
99,mean_token_accuracy,0.5322350636124611
99,epoch,0.21170809943865276
100,loss,1.9625
100,grad_norm,0.6786146759986877
100,learning_rate,0.0003929336188436831
100,mean_token_accuracy,0.5483220815658569
100,epoch,0.21384656508954825
100,eval_loss,1.9782893657684326
100,eval_runtime,1185.2678
100,eval_samples_per_second,1.403
100,eval_steps_per_second,0.702
100,eval_mean_token_accuracy,0.540711912792176
100,epoch,0.21384656508954825
101,loss,2.0622
101,grad_norm,0.5582773089408875
101,learning_rate,0.00039186295503211994
101,mean_token_accuracy,0.5274917520582676
101,epoch,0.21598503074044373
102,loss,2.0019
102,grad_norm,0.5259860157966614
102,learning_rate,0.0003907922912205568
102,mean_token_accuracy,0.5332367941737175
102,epoch,0.2181234963913392
103,loss,2.048
103,grad_norm,0.5641950368881226
103,learning_rate,0.00038972162740899356
103,mean_token_accuracy,0.5251334495842457
103,epoch,0.2202619620422347
104,loss,1.9296
104,grad_norm,0.526957094669342
104,learning_rate,0.0003886509635974304
104,mean_token_accuracy,0.5483157634735107
104,epoch,0.22240042769313018
105,loss,1.9475
105,grad_norm,0.6495623588562012
105,learning_rate,0.00038758029978586725
105,mean_token_accuracy,0.5463818684220314
105,epoch,0.22453889334402566
106,loss,2.0635
106,grad_norm,0.522757887840271
106,learning_rate,0.00038650963597430403
106,mean_token_accuracy,0.5231785140931606
106,epoch,0.22667735899492114
107,loss,1.9689
107,grad_norm,0.5711294412612915
107,learning_rate,0.0003854389721627409
107,mean_token_accuracy,0.5362696461379528
107,epoch,0.22881582464581662
108,loss,1.945
108,grad_norm,0.5928590297698975
108,learning_rate,0.00038436830835117777
108,mean_token_accuracy,0.5357487723231316
108,epoch,0.2309542902967121
109,loss,2.0002
109,grad_norm,0.5029648542404175
109,learning_rate,0.00038329764453961455
109,mean_token_accuracy,0.5371672585606575
109,epoch,0.2330927559476076
110,loss,1.9874
110,grad_norm,0.5414431691169739
110,learning_rate,0.0003822269807280514
110,mean_token_accuracy,0.5389790758490562
110,epoch,0.23523122159850307
111,loss,1.9024
111,grad_norm,0.7988289594650269
111,learning_rate,0.00038115631691648823
111,mean_token_accuracy,0.558034997433424
111,epoch,0.23736968724939855
112,loss,1.9689
112,grad_norm,0.6895626783370972
112,learning_rate,0.000380085653104925
112,mean_token_accuracy,0.5392899364233017
112,epoch,0.23950815290029404
113,loss,1.9411
113,grad_norm,0.5901193618774414
113,learning_rate,0.00037901498929336186
113,mean_token_accuracy,0.5499654412269592
113,epoch,0.24164661855118952
114,loss,1.9661
114,grad_norm,0.8815682530403137
